School Number,School Name,Graduate Qualifications,Postgraduate Qualifications,Total
104,Coromandel Valley Primary School,48,15,63
106,Cowandilla Primary School,59,20,79
107,Crafers Primary School,32,7,39
111,Crystal Brook Primary School,17,2,19
114,Curramulka Primary School,5,2,7
116,Murray Bridge Special School,10,5,15
120,Gilles Street Primary School,42,9,51
123,Echunga Primary School,17,5,22
124,Eden Hills Primary School,27,4,31
127,Edwardstown Primary School,45,6,51
128,Elliston Area School,17,5,22
131,Norwood Primary School,31,5,36
135,Flinders Park Primary School,27,8,35
136,Lenswood Primary School,5,0,5
138,Frances Primary School,5,1,6
139,Freeling Primary School,22,5,27
141,Gawler Primary School,20,5,25
142,Evanston Gardens Primary School,22,7,29
147,Gladstone Primary School,13,2,15
148,Glenburnie Primary School,11,0,11
152,Glen Osmond Primary School,27,6,33
153,Glossop Community School,9,0,9
156,Goodwood Primary School,34,8,42
157,Goolwa Primary School,34,10,44
160,Greenock Primary School,11,1,12
162,Gumeracha Primary School,12,3,15
163,Hahndorf Primary School,18,7,25
167,Hamley Bridge Primary School,9,1,10
169,Rose Park Primary School,35,21,56
171,Happy Valley Primary School,23,12,35
175,Hawker Area School,10,9,19
176,Heathfield Primary School,21,7,28
177,Henley Beach Primary School,41,11,52
179,North Adelaide Primary School,34,7,41
194,Jervois Primary School,7,4,11
195,Youth Education Centre,33,11,44
197,Kalangadoo Primary School,3,2,5
198,Kangarilla Primary School,9,1,10
200,Kapunda Primary School,22,8,30
202,Alberton Primary School,38,10,48
204,Kersbrook Primary School,7,0,7
205,Keyneton Primary School,6,0,6
207,Kilkenny Primary School,41,16,57
209,Kingston-on-Murray Primary School,6,2,8
210,Aldgate Primary School,22,6,28
211,Kongorong Primary School,4,2,6
212,Koolunga Primary School,5,0,5
214,Mid North Education Centre,10,3,13
219,Largs Bay School,43,9,52
220,Laura Primary School,10,2,12
221,Le Fevre Peninsula Primary School,33,9,42
222,Aldinga Beach Primary School,40,9,49
223,Light Pass Primary School,6,1,7
225,Littlehampton Primary School,29,10,39
227,Lobethal Primary School,21,3,24
230,Lock Area School,12,4,16
231,Lockleys Primary School,21,5,26
237,Lyndoch Primary School,7,2,9
239,Macclesfield Primary School,6,1,7
241,Mallala Primary School,14,4,18
242,Angaston Primary School,27,11,38
245,Manoora Primary School,3,1,4
248,Marree Aboriginal School,8,2,10
249,Marryatville Primary School,44,14,58
250,McLaren Flat Primary School,20,6,26
251,McLaren Vale Primary School,46,14,60
252,Meadows Primary School,18,4,22
253,Melrose Primary School,5,1,6
255,Angle Vale Primary School,29,6,35
265,Mil Lel Primary School,15,0,15
270,Mitcham Primary School,65,21,86
272,Modbury School P-6,24,9,33
274,Monash Primary and Preschool,17,3,20
279,Moorak Primary School,14,2,16
282,Morgan Primary School,8,4,12
285,Mount Barker Primary School,24,13,37
288,Mount Burr Primary School,8,5,13
289,Mount Compass Area School,65,13,78
290,Reidy Park Primary School,41,9,50
293,Mount Pleasant Primary School,7,2,9
297,Mundulla Primary School,11,2,13
